Nummer;Frage
F0001;Für wie viel Geld würdest du deinen kleinen Finger operativ entfernen lassen?
F0002;Für einen kleinen Finger 100.000€ oder für beide keinen Finger 700.000€? 
F0003;Würdest du für 2 Mio. € jetzt direkt 2 Jahre älter sein?
F0004;Würdest du für 20 Mio. € dein linkes Auge entfernen lassen?
F0005;Würdest du für 2 Mio. € 2 Jahre blind sein ?
F0006;Pro Haarwurzel erhältst du 20€. Wie viele würdest du entfernen lassen? Ausgehend von ca. 100.000 Haarwurzeln
F0007;Würdest du mit dem Wissen jetzt die Zeit um 15 Jahre zurück drehen? 
F0008;Würdest du lieber taub oder blind sein?
F0009;Für wie viel Geld würdest du dein Gedächtnis der letzten 2 Jahre auslöschen?
F0010;Für wie viel Geld würdest du nie wieder Musik hören?
F0011;Du kannst ein Verbrechen auf der Welt auslöschen, musst es aber dafür einmal begehen. Was wäre es ?
F0012;Würdest du für 1 Mio. € deinen Führerschein für immer abgeben?
F0013;Für wie viel würdest du 1 Jahr lang nur krabbeln wie ein Baby?
F0014;Für wie viel würdest du 1 Jahr lang bei der Truman Show mitmachen? Die Leute können dich die ganze Zeit bei allem sehen
F0015;Du bekommst immer zum 1. des Monats 5000€ geschenkt. Musst es aber an einer Stelle in deiner Stadt abholen. Aber wenn du es nur einmal vergisst, musst du alles bereits erhaltene Geld zurück geben
F0016;Für wie viel Geld würdest du deinen Geschmackssinn aufgeben?
F0017;Nie wieder in deinem Leben Sport oder nie wieder Sex?
F0018;Lieber unglaublich gute Stimme oder unglaublich gut tanzen können
F0019;Würdest du dich von deiner Traumfrau trennen, wenn du herausfinden würdest, dass sie Fußbilder verkauft?
F0020;Würdest du dich von deiner Traumfrau trennen, wenn du herausfinden würdest, dass sie OnlyFans hat?
F0021;Würdest du dich von deiner Traumfrau trennen, wenn du herausfinden würdest, dass sie früher eine  Prostituierte war ?
F0022;Würdest du für 1 Mio. € für immer auf dein Handy verzichten?
F0023;Hättest du lieber die Fähigkeit perfekt lügen zu können oder immer die Wahrheit zu erkennen bei anderen ?
F0024;Würdest du lieber 10 Sprachen fließend können oder jeder Instrument der Welt spielen können?
F0025;Würdest du für 50.000€ in einer Kleinstadt leben ohne Kontakt zu Familie und Freunde?
F0026;Würdest du für den Rest deines Lebens lieber nur noch schreien oder nur noch flüstern können?
F0027;Würdest du dein Augenlicht opfern um alle Kriege der Welt beenden zu können?
F0028;Würdest du für 2 Mio. € auswandern und nie wieder zurückkehren ?
F0029;Du kannst 2 Jahre in die Zukunft sehen. Würdest du den Menschen von ihrer Zukunft berichten?
F0030;Würdest du dir einen Chip in dein Gehirn pflanzen lassen, der Zugang zu unbegrenztem Wissen hat ?
F0031;Du kannst in die Zeit zurückreisen, aber nur für einen Tag. Wohin und wann?
F0032;Du kannst immer die Wahrheit erkennen aber niemand glaubt dir. Willst du das?
F0033;Würdest du für 500.000€ 1 Jahr lang nur schlechtes Fastfood essen?
F0034;Nie wieder Sex oder nie wieder kuscheln?
F0035;Würdest du für 250.000€ für immer auf dein Lieblingsessen verzichten?
F0036;Würdest du für 5.000€ einen Monat lang jeden Tag 1 Std. kalt duschen?
F0037;Würdest du einen Tag lang im Körper deines besten Freundes verbringen ohne dass es  jemals erfährt?
F0038;Wärst du lieber ein gut aussehender Mann oder im Herzen rein?
F0039;Würdest du lieber dein zukünftiges ich für eine Stunde treffen oder eine geliebte Person die verstorben ist?
F0040;Hättest du lieber immer einen vollen Kühlschrank oder immer einen vollen Tank?
F0041;Wärst du lieber unglaublich stark, aber niemand darf davon wissen oder unglaublich reich, niemand mag dich
F0042;Du kannst jede Person zum lachen bringen, aber nie wieder selber lachen
F0043;Würdest du dich von deiner Traumfrau trennen, wenn du nach 5 Jahren Beziehung erfährst, dass sie dich vor 4 Jahren betrogen hat
F0044;Würdest du in einen perfekten Traum leben, aber dafür nie in die Realität zurückkehren können?
F0045;Würdest du dein Leben eintauschen mit dem Leben eines Präsidenten? Du könntest die Welt verändern aber verlierst dein jetziges Leben
F0046;Du darfst deinen Bart nie wieder rasieren, dafür bekommst du 1.500€ im Monat
F0047;Würdest du für 5000€ einen Monat lang im Clownskostüm durch die Gegend laufen?
F0048;Hättest du lieber eine perfekte Erinnerung oder du löscht eine schlimme?
F0049;Würdest du lieber 10 Sprachen fließend sprechen können oder in kürzester Zeit jede Fähigkeit die du möchtest meistern können?
F0050;Du hast 1 Mio. € auf der Bank oder hast 5 Mio. die du aber immer mit dir rumtragen musst
F0051;Würdest du für 1 Woche lang nur Hundefutter essen?
F0052;Du hast die Chance Hitler zu stoppen, musst ihn aber als Baby umbringen. Würdest du es machen?
F0053;Es gibt 1000 Trauben. Für jede Traube die du isst, bekommst du 50.000€. Aber eine Traube ist tödlich. Wie viele isst du?
F0054;Du musst 10 Jahre lang in einem alter bleiben. Welches nimmst du?
F0055;Würdest du für 1 Mio. € jedes mal wenn du lachst für 3 Minuten rückwärts laufen?
F0056;Entweder du bekommst 200.000€ oder du sagst nein und irgendeine zufällige Person auf der Welt bekommt 2 Mio. € ?
F0057;Du bekommst 10 Mio. €, aber jedes mal wenn du eine Person anlügst, bekommt eine zufällige Person auf der Welt einen Stromschlag
F0058;Würdest du für 50 Mio. € 2 Jahre lang untertauchen und du darfst niemanden erzählen davon?
F0059;Für wie viel Geld würdest du eine Woche lang auf der Straße leben (Winter und Sommer)?
F0060;Würdest du lieber deinen Traumberuf für 1.800€ netto ausüben oder einen der dir mittelmäßig gefällt für 4.500€ netto
F0061;Würdest du lieber entscheiden können, wie viele Leute dich respektieren oder dir vertrauen?
F0062;Du bekommst 10 Mio. €, aber hast ab dann immer von 9 Uhr Abends bis morgens um 3 Uhr Fieber. Würdest du das tun?
F0063;Entweder du findest deine Frau immer wunderschön, wie beim ersten mal verliebt sein, aber alle anderen finden sie richtig hässlich oder es bleibt alles wie es ist.
F0064;Für wie viel Geld würdest du nie wieder Fleisch essen?
F0065;Du kannst richtig  gut Beatboxen, dafür musst du jeden Monat 40€ zahlen.
F0066;Würdest du dich lieber einmal am Tag teleportieren können oder einmal am Tag mit einer Berührung ein Buch verstehen können?
F0067;Du kannst den Preis eines Gegenstandes auf der Welt auf 1€ senken, welchen wählst du ?
F0068;Würdest du lieber nie wieder im Leben für Kleidung zahlen oder es kocht immer ein Sternekoch dein Essen (Aber nur für dich nicht Familie und co.)
F0069;Du bekommst 1 Mio. € aber ab dann wird mit jeder Lüge deine Nase um 1 cm länger.
F0070;Du musst gegen einen Bären kämpfen. Würdest du lieber eine Pistole mit 3 Kugeln nehmen oder ein Schwert und der Bär ist blind.?
F0071;Du zahlst einmalig 5000€ und bleibst dein Leben lang gesund oder bekommst 5 Mio. € und bekommst jeden Monat eine zufällige Krankheit
F0072;Du kannst deine größte Angst überwinden, schaltest dafür aber eine zufällige andere Angst frei
F0073;Du kannst jeden Menschen auf der Welt für 1 Stunde kontrollieren oder eine einzelne Person für immer beeinflussen und sie weiß davon nichts
F0074;Entweder du verbringst eine Woche im Urwald ohne Hilfe, du könntest auch sterben oder du verbringst 24 Stunden in einem Geisterhaus, in dem es wirklich spukt, aber es kann dir nicht gefährlich werden
F0075;Du kannst die Sprache aller Tiere verstehen oder die Sprache aller Menschen verstehen
F0076;Du bekommst 2 Mio. € aber jedes mal wenn du etwas verlierst, verlierst du einen Zeh
F0077;Würdest du für 100.000€ für 1 Jahr lang nur noch mit 1 Person sprechen
F0078;Würdest du lieber nie wieder schlafen müssen oder nie wieder schlafen müssen?
F0079;Würdest du lieber für den Rest deines Lebens denselben Song hören oder das gleiche Essen essen?
F0080;Könntest du lieber in die Zukunft sehen, aber nur 24 Stunden im voraus oder Du kannst in die Vergangenheit reisen aber nur für 5 Minuten dort bleiben und nichts verändern
F0081;1000 Glässer Wasser. 1 Glas enthält das Norovirus, welches du für einen Tag bekommst. Du bekommst für jedes getrunkene Glas 1000€. Wie viele trinkst du?
F0082;Wärst du lieber extrem intelligent, aber dafür sozial unbeholfen oder durchschnittlich intelligent und dafür extrem charismatisch?
F0083;Du bist in einem Raum eingesperrt mit einer giftigen Schlange. Würdest du lieber eine Pistole haben mit einem Schuss oder einen Dolch?
F0084;Würdest du lieber den Rest deines Lebens barfuß laufen oder den Rest deines Lebens Handschuhe tragen?
F0085;Würdest du nie wieder dein Lieblingsessen essen, dafür darfst du alles andere essen oder nur noch dein Lieblingsessen?
F0086;Würdest du nie wieder reisen können oder jeden Monat in ein anderes Land ziehen müssen?
F0087;Würdest du lieber einen Monat lang in Zeitlupe oder in doppelter Geschwindigkeit reden müssen?
F0088;Würdest du lieber immer perfekt aussehen, aber dich immer unsicher fühlen oder durchschnittlich aussehen aber du fühlst dich großartig
F0089;Du kannst einen Knopf drücken und alle Krankheiten auf der Welt werden sofort geheilt, aber innerhalt kürzester Zeit verdoppelt sich die Menschheit und es führt zu Hungersnöten und Ressourcen Mangel
F0090;Du kannst verhindern, dass es jemals wieder Morde gibt, aber dafür gibt es auf der ganzen Welt keine Meinungsfreiheit mehr
F0091;Du bist mit einem Boot auf dem Mittelmeer. Hättest du lieber ein Ruder oder einen Kompass?
